label,youtube_id,time_start,time_end,split,is_cc
abseiling,0wR5jVB-WPk,417,427,val,0
abseiling,3caPS4FHFF8,36,46,val,0
abseiling,3yaoNwz99xM,62,72,val,1
abseiling,6IbvOJxXnOo,47,57,val,0
abseiling,6_4kjPiQr7w,191,201,val,0
abseiling,9EnSwbXxu5g,56,66,val,0
abseiling,9eTXpQq9QTA,126,136,val,0
abseiling,ASFOR-PFsiM,40,50,val,0
abseiling,bd6eUL9prjI,102,112,val,0
abseiling,bFdTLPL8TTM,169,179,val,0
abseiling,BiKRPPjAzvw,17,27,val,0
abseiling,BJ8ZBTYXyAE,76,86,val,1
abseiling,bjtnAh_wz1c,2,12,val,0
abseiling,BXXE1G7O5ec,30,40,val,0
abseiling,C0VVxIhDp9Q,21,31,val,0
abseiling,CBL6uetTPHg,89,99,val,0
abseiling,CQzUU7-cVck,6,16,val,0
abseiling,eA6KqKuVj-I,22,32,val,0
abseiling,EDgbHrT9H0U,65,75,val,0
abseiling,eHkBHH59-Js,115,125,val,0
abseiling,f2uK1SvWf5A,5,15,val,0
abseiling,G9zN5TTuGO4,179,189,val,0
abseiling,gGGlthnIB-4,36,46,val,0
abseiling,GwlcmI36imo,127,137,val,0
abseiling,hXtsZAaZ3yc,44,54,val,0
abseiling,IyNBDKyORFs,243,253,val,0
abseiling,lOpJLO8weZw,131,141,val,0
abseiling,n6lUXDwL4Y0,22,32,val,0
abseiling,O179fpfn1G4,40,50,val,0
abseiling,oMjg09l2zs0,676,686,val,0
abseiling,OMK0OJ4f_TI,0,10,val,0
abseiling,p1VKQa4N-hg,0,10,val,0
abseiling,Ptf_2VRj-V0,122,132,val,0
abseiling,qqJisE6m6XI,0,10,val,0
abseiling,rseBvhN6dio,3,13,val,0
abseiling,UFRaLM26S24,16,26,val,0
abseiling,VHJGX13S_UY,554,564,val,0
abseiling,Ww61iwaFGrM,59,69,val,0
abseiling,XaH22IFN81Y,56,66,val,0
abseiling,xjhF2VEkh0E,210,220,val,0
abseiling,xnyOA58A07Q,127,137,val,0
abseiling,y3-3i88mNPc,8,18,val,0
abseiling,YgzCJmncmUA,27,37,val,1
abseiling,YHCT_kezpfk,63,73,val,0
abseiling,YqTT34PsD5c,3,13,val,0
abseiling,yq_M1PMw2hY,38,48,val,0
abseiling,z9vSfUWX4pI,52,62,val,0
abseiling,Zv09PB3YQAs,10,20,val,0
abseiling,_aQSjArgAqA,123,133,val,0
abseiling,__NrybzYzUg,415,425,val,0
air drumming,--nQbRBEz2s,104,114,val,0
air drumming,2cPLjY5AWXU,1,11,val,0
